#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_010658.1	13338	13613	-	-	-	SBBS512_RS01755	WP_001317300.1	91	MULTISPECIES: transposase
chr	NC_010658.1	14275	16191	+	-	-	SBBS512_RS01765	WP_000516135.1	638	MULTISPECIES: molecular chaperone DnaK
chr	NC_010658.1	16280	17410	+	-	-	SBBS512_RS01770	WP_001118467.1	376	MULTISPECIES: molecular chaperone DnaJ
chr	NC_010658.1	17514	17666	-	-	-	SBBS512_RS01775	WP_000809168.1	50	MULTISPECIES: protein hokC
chr	NC_010658.1	18252	19418	+	-	nhaA	SBBS512_RS01780	WP_000681368.1	388	MULTISPECIES: Na+/H+ antiporter NhaA
chr	NC_010658.1	19484	20383	+	-	-	SBBS512_RS01785	WP_001300855.1	299	MULTISPECIES: transcriptional activator NhaR
chr	NC_010658.1	20421	20846	-	-	-	SBBS512_RS01790	WP_000128202.1	141	MULTISPECIES: hypothetical protein
chr	NC_010658.1	20950	21225	+	-	-	SBBS512_RS01795	WP_001317300.1	91	MULTISPECIES: transposase
chr	NC_010658.1	21270	21332	+	-	-	SBBS512_RS27980	WP_071821676.1	20	MULTISPECIES: hypothetical protein
chr	NC_010658.1	21336	22928	-	-	-	SBBS512_RS01800	WP_001072397.1	530	transposase
chr	NC_010658.1	23037	23309	-	-	-	SBBS512_RS01805	WP_000624668.1	90	hypothetical protein
chr	NC_010658.1	23306	23725	-	-	-	SBBS512_RS01810	WP_000435414.1	139	MULTISPECIES: transposase
chr	NC_010658.1	23832	24161	+	-	-	SBBS512_RS01815	WP_044815326.1	109	MULTISPECIES: transposase
chr	NC_010658.1	24395	24658	-	-	-	SBBS512_RS01820	WP_001274021.1	87	MULTISPECIES: 30S ribosomal protein S20
chr	NC_010658.1	24761	24979	+	-	-	SBBS512_RS01825	WP_001295417.1	72	MULTISPECIES: hypothetical protein
chr	NC_010658.1	24987	25928	+	-	-	SBBS512_RS01830	WP_000767329.1	313	MULTISPECIES: bifunctional riboflavin kinase/FMN adenylyltransferase
chr	NC_010658.1	25971	28787	+	-	-	SBBS512_RS01835	WP_001286855.1	938	MULTISPECIES: isoleucine--tRNA ligase
chr	NC_010658.1	28787	29281	+	-	-	SBBS512_RS01840	WP_000083372.1	164	MULTISPECIES: lipoprotein signal peptidase
chr	NC_010658.1	29350	29799	+	-	-	SBBS512_RS01845	WP_000004655.1	149	MULTISPECIES: peptidyl-prolyl cis-trans isomerase
chr	NC_010658.1	29801	30751	+	-	-	SBBS512_RS01850	WP_001166395.1	316	MULTISPECIES: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_010658.1	30817	31731	+	-	-	SBBS512_RS01855	WP_001239132.1	304	MULTISPECIES: non-specific ribonucleoside hydrolase RihC
chr	NC_010658.1	31898	32719	+	-	-	SBBS512_RS01860	WP_000543609.1	273	MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase
chr	NC_010658.1	32761	32928	-	-	-	SBBS512_RS01865	WP_000544413.1	55	MULTISPECIES: hypothetical protein
chr	NC_010658.1	32998	33135	+	-	-	SBBS512_RS27985	WP_000545065.1	45	MULTISPECIES: hypothetical protein
chr	NC_010658.1	33175	34323	+	-	-	SBBS512_RS01875	WP_000597260.1	382	MULTISPECIES: carbamoyl-phosphate synthase small subunit
chr	NC_010658.1	34341	37562	+	-	-	SBBS512_RS01880	WP_001126374.1	1073	carbamoyl phosphate synthase large subunit
chr	NC_010658.1	37683	38078	-	-	-	SBBS512_RS01890	WP_000634405.1	131	MULTISPECIES: transposase
chr	NC_010658.1	38105	38380	-	-	-	SBBS512_RS01895	WP_001317300.1	91	MULTISPECIES: transposase
chr	NC_010658.1	39787	40317	+	-	-	SBBS512_RS01905	WP_000600735.1	176	MULTISPECIES: glutathione-regulated potassium-efflux system ancillary protein KefF
chr	NC_010658.1	40310	42172	+	-	-	SBBS512_RS01910	WP_000377129.1	620	MULTISPECIES: glutathione-regulated potassium-efflux system protein KefC
chr	NC_010658.1	42364	42843	+	-	folA	SBBS512_RS01915	WP_000624375.1	159	MULTISPECIES: dihydrofolate reductase
chr	NC_010658.1	42921	43763	-	-	-	SBBS512_RS01920	WP_000257192.1	280	MULTISPECIES: diadenosine tetraphosphatase
chr	NC_010658.1	43770	44147	-	-	-	SBBS512_RS01925	WP_000610901.1	125	MULTISPECIES: Co2+/Mg2+ efflux protein ApaG
chr	NC_010658.1	44150	44971	-	-	ksgA	SBBS512_RS01930	WP_001065384.1	273	MULTISPECIES: ribosomal RNA small subunit methyltransferase A
chr	NC_010658.1	44968	45957	-	-	-	SBBS512_RS01935	WP_000241244.1	329	MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase
chr	NC_010658.1	45957	47243	-	-	-	SBBS512_RS01940	WP_000800466.1	428	MULTISPECIES: peptidylprolyl isomerase SurA
chr	NC_010658.1	47296	49650	-	-	-	SBBS512_RS01945	WP_000746136.1	784	MULTISPECIES: LPS assembly protein LptD
chr	NC_010658.1	49905	50720	+	-	-	SBBS512_RS01950	WP_001200567.1	271	MULTISPECIES: molecular chaperone DjlA
chr	NC_010658.1	50837	51496	-	-	-	SBBS512_RS01955	WP_000525167.1	219	bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA
chr	NC_010658.1	51508	54414	-	-	-	SBBS512_RS01960	WP_001117019.1	968	MULTISPECIES: RNA polymerase-associated protein RapA
chr	NC_010658.1	54578	56929	-	-	-	SBBS512_RS01965	WP_000035668.1	783	MULTISPECIES: DNA polymerase II
chr	NC_010658.1	57004	57699	-	-	-	SBBS512_RS01970	WP_000888672.1	231	MULTISPECIES: L-ribulose-5-phosphate 4-epimerase
chr	NC_010658.1	57732	57902	+	-	-	SBBS512_RS27990	WP_071532510.1	56	MULTISPECIES: ribonucleoside diphosphate reductase 1 subunit beta
chr	NC_010658.1	57899	59401	-	-	-	SBBS512_RS01975	WP_000151730.1	500	MULTISPECIES: L-arabinose isomerase
chr	NC_010658.1	59412	61112	-	-	-	SBBS512_RS01980	WP_000951764.1	566	MULTISPECIES: ribulokinase
chr	NC_010658.1	61451	62329	+	-	-	SBBS512_RS01985	WP_012421573.1	292	MULTISPECIES: arabinose operon regulatory protein
chr	NC_010658.1	62415	63179	+	-	-	SBBS512_RS01990	WP_001148406.1	254	MULTISPECIES: DedA family protein
chr	NC_010658.1	63293	63991	-	-	thiQ	SBBS512_RS01995	WP_000916323.1	232	MULTISPECIES: thiamine import ATP-binding protein ThiQ
chr	NC_010658.1	63975	65585	-	-	thiP	SBBS512_RS02000	WP_000235693.1	536	MULTISPECIES: thiamine/thiamine pyrophosphate ABC transporter permease ThiP
chr	NC_010658.1	65561	66544	-	-	-	SBBS512_RS02005	WP_004980421.1	327	MULTISPECIES: thiamine transporter substrate binding subunit
chr	NC_010658.1	66708	68363	-	-	-	SBBS512_RS02010	WP_001297366.1	551	MULTISPECIES: transcriptional regulator
chr	NC_010658.1	68452	68583	+	-	-	SBBS512_RS02015	WP_001248770.1	43	MULTISPECIES: inhibitor of glucose uptake
chr	NC_010658.1	68685	69767	+	-	-	SBBS512_RS02020	WP_000637858.1	360	MULTISPECIES: MFS transporter
chr	NC_010658.1	69816	70421	-	-	-	SBBS512_RS02025	WP_000818228.1	201	MULTISPECIES: 3-isopropylmalate dehydratase small subunit
chr	NC_010658.1	70432	71832	-	-	-	SBBS512_RS02030	WP_001140652.1	466	MULTISPECIES: 3-isopropylmalate dehydratase large subunit
chr	NC_010658.1	71835	72926	-	-	-	SBBS512_RS02035	WP_000042363.1	363	MULTISPECIES: 3-isopropylmalate dehydrogenase
chr	NC_010658.1	72926	74497	-	-	-	SBBS512_RS02040	WP_000082846.1	523	MULTISPECIES: 2-isopropylmalate synthase
chr	NC_010658.1	74590	74676	-	-	-	SBBS512_RS02045	WP_001300467.1	28	MULTISPECIES: leu operon leader peptide
chr	NC_010658.1	75337	76281	+	-	-	SBBS512_RS02050	WP_012421695.1	314	MULTISPECIES: transcriptional regulator LeuO
chr	NC_010658.1	78326	78817	+	-	-	SBBS512_RS02060	WP_001355663.1	163	MULTISPECIES: acetolactate synthase small subunit
chr	NC_010658.1	78820	78915	+	-	-	SBBS512_RS02065	WP_071821519.1	31	MULTISPECIES: fruR/shl operon leader peptide
chr	NC_010658.1	78997	80001	+	-	-	SBBS512_RS02070	WP_000762401.1	334	MULTISPECIES: catabolite repressor/activator
chr	NC_010658.1	80422	80604	-	-	-	SBBS512_RS28000	WP_071821520.1	60	MULTISPECIES: hypothetical protein
chr	NC_010658.1	80603	81061	+	-	-	SBBS512_RS02075	WP_001295770.1	152	MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ
chr	NC_010658.1	81063	82004	+	-	-	SBBS512_RS02080	WP_000970479.1	313	MULTISPECIES: ribosomal RNA small subunit methyltransferase H
chr	NC_010658.1	82001	82366	+	-	-	SBBS512_RS02085	WP_000625658.1	121	MULTISPECIES: cell division protein FtsL
chr	NC_010658.1	82382	84148	+	-	-	SBBS512_RS02090	WP_000642196.1	588	MULTISPECIES: peptidoglycan synthase FtsI
chr	NC_010658.1	84135	85622	+	-	-	SBBS512_RS02095	WP_000785143.1	495	MULTISPECIES: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
chr	NC_010658.1	85619	86977	+	-	-	SBBS512_RS02100	WP_000626688.1	452	MULTISPECIES: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr	NC_010658.1	86971	88053	+	-	-	SBBS512_RS02105	WP_000964131.1	360	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase
chr	NC_010658.1	88056	89372	+	-	murD	SBBS512_RS02110	WP_000796488.1	438	MULTISPECIES: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
chr	NC_010658.1	89372	90616	+	-	-	SBBS512_RS02115	WP_001369939.1	414	MULTISPECIES: cell division protein FtsW
chr	NC_010658.1	90613	91680	+	-	-	SBBS512_RS02120	WP_000016552.1	355	MULTISPECIES: undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
chr	NC_010658.1	91734	93209	+	-	-	SBBS512_RS02125	WP_001096043.1	491	MULTISPECIES: UDP-N-acetylmuramate--L-alanine ligase
chr	NC_010658.1	93202	94122	+	-	ddl	SBBS512_RS02130	WP_000130053.1	306	MULTISPECIES: D-alanine--D-alanine ligase B
chr	NC_010658.1	94124	94954	+	-	-	SBBS512_RS02135	WP_000075744.1	276	MULTISPECIES: cell division protein FtsQ
chr	NC_010658.1	94951	96213	+	-	-	SBBS512_RS02140	WP_000588474.1	420	MULTISPECIES: cell division protein FtsA
chr	NC_010658.1	96274	97425	+	-	-	SBBS512_RS02145	WP_000462776.1	383	MULTISPECIES: cell division protein FtsZ
chr	NC_010658.1	97526	98443	+	-	-	SBBS512_RS02150	WP_000595479.1	305	MULTISPECIES: UDP-3-O
chr	NC_010658.1	98415	98600	-	-	-	SBBS512_RS02155	WP_001001291.1	61	MULTISPECIES: hypothetical protein
chr	NC_010658.1	98674	99186	+	-	-	SBBS512_RS02160	WP_024258549.1	170	MULTISPECIES: SecA regulator SecM
chr	NC_010658.1	99248	101953	+	-	-	SBBS512_RS02165	WP_000905789.1	901	MULTISPECIES: protein translocase subunit SecA
chr	NC_010658.1	102013	102402	+	-	-	SBBS512_RS02170	WP_000736004.1	129	MULTISPECIES: 8-oxo-dGTP diphosphatase
chr	NC_010658.1	102424	102558	-	-	-	SBBS512_RS02175	WP_011379088.1	44	MULTISPECIES: hypothetical protein
chr	NC_010658.1	102509	102706	-	-	-	SBBS512_RS02180	WP_000005042.1	65	MULTISPECIES: DNA gyrase inhibitor YacG
chr	NC_010658.1	102716	103459	-	-	-	SBBS512_RS02185	WP_001194731.1	247	MULTISPECIES: cell division protein ZapD
chr	NC_010658.1	103459	104079	-	-	-	SBBS512_RS02190	WP_001269516.1	206	dephospho-CoA kinase
chr	NC_010658.1	104304	105347	+	-	-	SBBS512_RS02195	WP_001217319.1	347	guanosine monophosphate reductase
chr	NC_010658.1	105382	106584	-	-	-	SBBS512_RS02200	WP_000157234.1	400	MULTISPECIES: type IV pilin biogenesis protein
chr	NC_010658.1	108274	108549	+	-	-	SBBS512_RS02215	WP_001317300.1	91	MULTISPECIES: transposase
chr	NC_010658.1	108468	108971	+	-	-	SBBS512_RS02220	WP_000089821.1	167	MULTISPECIES: transposase
chr	NC_010658.1	109378	110271	-	-	-	SBBS512_RS02235	WP_001135158.1	297	MULTISPECIES: nicotinate-nucleotide diphosphorylase
chr	NC_010658.1	110359	110910	+	-	-	SBBS512_RS02240	WP_000923726.1	183	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase
chr	NC_010658.1	110907	111761	+	-	-	SBBS512_RS02245	WP_000172017.1	284	MULTISPECIES: beta-lactamase regulator AmpE
chr	NC_010658.1	111804	113174	-	-	-	SBBS512_RS02250	WP_000399043.1	456	MULTISPECIES: aromatic amino acid transporter AroP
chr	NC_010658.1	113718	114482	+	-	-	SBBS512_RS02255	WP_000331776.1	254	MULTISPECIES: pyruvate dehydrogenase complex repressor
chr	NC_010658.1	114479	114661	-	-	-	SBBS512_RS28005	WP_001299868.1	60	MULTISPECIES: hypothetical protein
chr	NC_010658.1	114643	117306	+	-	-	SBBS512_RS02260	WP_000003812.1	887	MULTISPECIES: pyruvate dehydrogenase E1 component
chr	NC_010658.1	117321	119213	+	-	aceF	SBBS512_RS02265	WP_000963518.1	630	MULTISPECIES: dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
chr	NC_010658.1	119538	120962	+	-	-	SBBS512_RS02270	WP_000102485.1	474	MULTISPECIES: dihydrolipoyl dehydrogenase
chr	NC_010658.1	121033	122886	-	-	-	SBBS512_RS02275	WP_000784399.1	617	MULTISPECIES: hypothetical protein
chr	NC_010658.1	123144	123260	+	-	-	SBBS512_RS28010	WP_001480366.1	38	MULTISPECIES: hypothetical protein
chr	NC_010658.1	123241	125838	+	-	-	SBBS512_RS02280	WP_039058962.1	865	MULTISPECIES: aconitate hydratase B
chr	NC_010658.1	126013	126375	+	-	-	SBBS512_RS02285	WP_000384306.1	120	MULTISPECIES: UPF0231 family protein
chr	NC_010658.1	126412	127206	-	-	-	SBBS512_RS02290	WP_000734287.1	264	MULTISPECIES: S-adenosylmethionine decarboxylase proenzyme
chr	NC_010658.1	127222	128088	-	-	-	SBBS512_RS02295	WP_000818421.1	288	MULTISPECIES: polyamine aminopropyltransferase
chr	NC_010658.1	128194	128541	-	-	-	SBBS512_RS02300	WP_001295568.1	115	MULTISPECIES: PulS_OutS family protein
chr	NC_010658.1	128707	130257	+	-	-	SBBS512_RS02305	WP_001189607.1	516	MULTISPECIES: multicopper oxidase
chr	NC_010658.1	130364	132652	-	-	-	SBBS512_RS02310	WP_000996831.1	762	MULTISPECIES: membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
chr	NC_010658.1	132858	133394	+	-	-	SBBS512_RS02315	WP_000683335.1	178	MULTISPECIES: hypoxanthine phosphoribosyltransferase
chr	NC_010658.1	133435	134097	-	-	-	SBBS512_RS02320	WP_000651584.1	220	MULTISPECIES: carbonate dehydratase
chr	NC_010658.1	134206	135132	+	-	-	SBBS512_RS02325	WP_000150613.1	308	MULTISPECIES: multidrug ABC transporter ATP-binding protein
chr	NC_010658.1	135129	135899	+	-	-	SBBS512_RS02330	WP_000972200.1	256	MULTISPECIES: ABC transporter permease
chr	NC_010658.1	136004	136444	+	-	-	SBBS512_RS02335	WP_000901987.1	146	MULTISPECIES: PTS Enzyme IIA
chr	NC_010658.1	137729	138109	-	-	-	SBBS512_RS02345	WP_000621515.1	126	MULTISPECIES: aspartate 1-decarboxylase
chr	NC_010658.1	138059	138262	+	-	-	SBBS512_RS28015	WP_001379466.1	67	MULTISPECIES: hypothetical protein
chr	NC_010658.1	138383	139279	+	-	-	SBBS512_RS02350	WP_000339949.1	298	MULTISPECIES: hypothetical protein
chr	NC_010658.1	139571	140422	-	-	-	SBBS512_RS02355	WP_000905371.1	283	MULTISPECIES: pantoate--beta-alanine ligase
chr	NC_010658.1	140434	141228	-	-	-	SBBS512_RS02360	WP_000805451.1	264	MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase
chr	NC_010658.1	141435	142274	-	-	-	SBBS512_RS02365	WP_004980433.1	279	MULTISPECIES: transposase
chr	NC_010658.1	142301	142603	-	-	-	SBBS512_RS02370	WP_001344353.1	100	MULTISPECIES: transposase
chr	NC_010658.1	142848	143351	-	-	-	SBBS512_RS02375	WP_000089821.1	167	MULTISPECIES: transposase
chr	NC_010658.1	143270	143545	-	-	-	SBBS512_RS02380	WP_001317300.1	91	MULTISPECIES: transposase
chr	NC_010658.1	144323	144802	-	-	-	SBBS512_RS02390	WP_000215134.1	159	MULTISPECIES: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
chr	NC_010658.1	144799	146217	-	-	-	SBBS512_RS02395	WP_000174643.1	472	MULTISPECIES: polynucleotide adenylyltransferase PcnB
chr	NC_010658.1	146256	147182	-	-	-	SBBS512_RS02400	WP_000937427.1	308	MULTISPECIES: tRNA glutamyl-Q synthetase
chr	NC_010658.1	147219	147674	-	-	-	SBBS512_RS02405	WP_001155227.1	151	MULTISPECIES: RNA polymerase-binding transcription factor DksA
chr	NC_010658.1	147852	148556	-	-	-	SBBS512_RS02410	WP_000396053.1	234	MULTISPECIES: sugar fermentation stimulation protein SfsA
chr	NC_010658.1	148571	149101	-	-	-	SBBS512_RS02415	WP_001294699.1	176	MULTISPECIES: 2\'-5\' RNA ligase
chr	NC_010658.1	149130	151604	+	-	-	SBBS512_RS02420	WP_000938629.1	824	MULTISPECIES: ATP-dependent helicase
chr	NC_010658.1	151800	154322	+	-	-	SBBS512_RS02430	WP_000918180.1	840	bifunctional glycosyl transferase/transpeptidase
chr	NC_010658.1	154542	156731	+	-	-	SBBS512_RS02435	WP_000124445.1	729	MULTISPECIES: ferrichrome porin FhuA
chr	NC_010658.1	156782	157579	+	-	-	SBBS512_RS02440	WP_001400473.1	265	MULTISPECIES: iron(3+)-hydroxamate import ATP-binding protein FhuC
chr	NC_010658.1	157579	158469	+	-	-	SBBS512_RS02445	WP_000015988.1	296	MULTISPECIES: iron-hydroxamate transporter substrate-binding subunit
chr	NC_010658.1	158466	160448	+	-	-	SBBS512_RS02450	WP_000044083.1	660	Fe3+-hydroxamate ABC transporter permease FhuB
chr	NC_010658.1	160483	161763	-	-	-	SBBS512_RS02455	WP_000045326.1	426	MULTISPECIES: glutamate-1-semialdehyde 2,1-aminomutase
chr	NC_010658.1	161988	163409	+	-	-	SBBS512_RS02460	WP_000845402.1	473	MULTISPECIES: ClC family H(+)/Cl(-) exchange transporter
chr	NC_010658.1	163491	163835	+	-	-	SBBS512_RS02465	WP_001295564.1	114	MULTISPECIES: iron-sulfur cluster insertion protein ErpA
chr	NC_010658.1	163882	164505	-	-	-	SBBS512_RS02470	WP_000964221.1	207	MULTISPECIES: hypothetical protein
chr	NC_010658.1	165335	166033	-	-	-	SBBS512_RS02480	WP_000689844.1	232	MULTISPECIES: 5\'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
chr	NC_010658.1	166117	167634	+	-	-	SBBS512_RS02485	WP_000057110.1	505	MULTISPECIES: deoxyguanosinetriphosphate triphosphohydrolase
chr	NC_010658.1	167764	169188	+	-	-	SBBS512_RS02490	WP_000753946.1	474	MULTISPECIES: periplasmic serine endoprotease DegP
chr	NC_010658.1	169366	170496	+	-	-	SBBS512_RS02495	WP_000046051.1	376	MULTISPECIES: carbohydrate diacid transcriptional activator CdaR
chr	NC_010658.1	170585	170971	-	-	-	SBBS512_RS02500	WP_000272188.1	128	MULTISPECIES: hypothetical protein
chr	NC_010658.1	171133	171945	-	-	-	SBBS512_RS02505	WP_000625639.1	270	MULTISPECIES: phosphodiesterase
chr	NC_010658.1	172000	172824	-	-	-	SBBS512_RS02510	WP_001186662.1	274	MULTISPECIES: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
chr	NC_010658.1	172855	175527	-	-	-	SBBS512_RS02515	WP_001094569.1	890	bifunctional uridylyltransferase/uridylyl-removing protein
chr	NC_010658.1	175589	176383	-	-	-	SBBS512_RS02520	WP_001018194.1	264	MULTISPECIES: methionine aminopeptidase
chr	NC_010658.1	176751	177476	+	-	-	SBBS512_RS02525	WP_000246884.1	241	MULTISPECIES: 30S ribosomal protein S2
chr	NC_010658.1	177428	177715	-	-	-	SBBS512_RS28040	WP_001297058.1	95	MULTISPECIES: hypothetical protein
chr	NC_010658.1	177734	178585	+	-	-	SBBS512_RS02530	WP_000818114.1	283	MULTISPECIES: elongation factor Ts
chr	NC_010658.1	178732	179457	+	-	-	SBBS512_RS02535	WP_000224573.1	241	MULTISPECIES: UMP kinase
chr	NC_010658.1	179749	180306	+	-	-	SBBS512_RS02540	WP_000622418.1	185	MULTISPECIES: ribosome-recycling factor
chr	NC_010658.1	180398	181594	+	-	-	SBBS512_RS02545	WP_000811923.1	398	MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate reductoisomerase
chr	NC_010658.1	181783	182541	+	-	-	SBBS512_RS02550	WP_005039433.1	252	MULTISPECIES: (2E,6E)-farnesyl- diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase
chr	NC_010658.1	182554	183411	+	-	-	SBBS512_RS02555	WP_000922446.1	285	MULTISPECIES: phosphatidate cytidylyltransferase
chr	NC_010658.1	183423	184775	+	-	-	SBBS512_RS02560	WP_012421466.1	450	MULTISPECIES: zinc metallopeptidase RseP
chr	NC_010658.1	184805	187237	+	-	-	SBBS512_RS02565	WP_001240896.1	810	MULTISPECIES: outer membrane protein assembly factor BamA
chr	NC_010658.1	187359	187844	+	-	-	SBBS512_RS02570	WP_000758956.1	161	MULTISPECIES: chaperone protein Skp
chr	NC_010658.1	187848	188873	+	-	-	SBBS512_RS02575	WP_001139282.1	341	MULTISPECIES: UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
chr	NC_010658.1	188978	189433	+	-	-	SBBS512_RS02580	WP_000210739.1	151	MULTISPECIES: beta-hydroxyacyl-ACP dehydratase
chr	NC_010658.1	189437	190225	+	-	-	SBBS512_RS02585	WP_000565978.1	262	MULTISPECIES: acyl
chr	NC_010658.1	190225	191373	+	-	-	SBBS512_RS02590	WP_000139665.1	382	MULTISPECIES: lipid-A-disaccharide synthase
chr	NC_010658.1	191370	191966	+	-	-	SBBS512_RS02595	WP_000569419.1	198	MULTISPECIES: ribonuclease HII
chr	NC_010658.1	192003	195485	+	-	-	SBBS512_RS02600	WP_001294793.1	1160	DNA polymerase III subunit alpha
chr	NC_010658.1	195498	196457	+	-	-	SBBS512_RS02605	WP_000055733.1	319	MULTISPECIES: acetyl-CoA carboxylase carboxyltransferase subunit alpha
chr	NC_010658.1	196556	198697	+	-	-	SBBS512_RS02610	WP_001020994.1	713	lysine decarboxylase CadA
chr	NC_010658.1	198754	199143	+	-	-	SBBS512_RS02615	WP_000901098.1	129	MULTISPECIES: VOC family protein
chr	NC_010658.1	199208	200506	+	-	-	SBBS512_RS02620	WP_000176568.1	432	MULTISPECIES: tRNA lysidine(34) synthetase TilS
chr	NC_010658.1	200555	200815	-	-	-	SBBS512_RS02625	WP_000062312.1	86	MULTISPECIES: Rho-binding antiterminator
chr	NC_010658.1	200802	201002	-	-	-	SBBS512_RS02630	WP_000417058.1	66	MULTISPECIES: hypothetical protein
chr	NC_010658.1	201168	201713	+	-	-	SBBS512_RS02635	WP_001185290.1	181	MULTISPECIES: PDDEXK superfamily protein
chr	NC_010658.1	201710	202132	+	-	-	SBBS512_RS02640	WP_000635545.1	140	MULTISPECIES: aminoacyl-tRNA hydrolase
chr	NC_010658.1	202146	202856	+	-	-	SBBS512_RS02645	WP_000239180.1	236	MULTISPECIES: copper homeostasis/adhesion lipoprotein NlpE
chr	NC_010658.1	203056	203880	-	-	-	SBBS512_RS02650	WP_012421638.1	274	MULTISPECIES: hypothetical protein
chr	NC_010658.1	203933	205651	-	-	-	SBBS512_RS02655	WP_001260712.1	572	MULTISPECIES: proline--tRNA ligase
chr	NC_010658.1	205762	206469	-	-	-	SBBS512_RS02660	WP_000094014.1	235	MULTISPECIES: tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
chr	NC_010658.1	206466	206870	-	-	-	SBBS512_RS02665	WP_001202329.1	134	MULTISPECIES: Rcs stress response system protein RcsF
chr	NC_010658.1	206988	207803	-	-	-	SBBS512_RS02670	WP_000874224.1	271	MULTISPECIES: methionine ABC transporter substrate-binding protein MetQ
chr	NC_010658.1	207843	208496	-	-	-	SBBS512_RS02675	WP_001294604.1	217	MULTISPECIES: methionine ABC transporter permease
chr	NC_010658.1	208489	209520	-	-	-	SBBS512_RS02680	WP_000593994.1	343	MULTISPECIES: methionine import ATP-binding protein MetN
chr	NC_010658.1	209708	210280	+	-	-	SBBS512_RS02685	WP_001140196.1	190	MULTISPECIES: D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase
chr	NC_010658.1	216041	216844	+	-	-	SBBS512_RS02720	WP_000997060.1	267	MULTISPECIES: 2,5-didehydrogluconate reductase B
chr	NC_010658.1	216841	217755	-	-	-	SBBS512_RS02725	WP_000648553.1	304	MULTISPECIES: LysR family transcriptional regulator
chr	NC_010658.1	217996	218796	+	-	-	SBBS512_RS02730	WP_001230983.1	266	MULTISPECIES: EEP domain-containing protein
