Protein ID	Type	Source
NP_232512.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232523.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232509.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232520.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232517.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232514.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232511.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232522.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232508.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232519.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232516.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232618.1	PAG	Pathogen-associated genes analysis (2014)
NP_233448.1	PAG	Pathogen-associated genes analysis (2014)
NP_232618.1	PAG	Pathogen-associated genes analysis (2014)
NP_233448.1	PAG	Pathogen-associated genes analysis (2014)
NP_233448.1	PAG	Pathogen-associated genes analysis (2014)
NP_232618.1	PAG	Pathogen-associated genes analysis (2014)
NP_232696.1	CARD	http://arpcard.mcmaster.ca/?q=CARD/ontology/39115
NP_232696.1	CARD	http://arpcard.mcmaster.ca/?q=CARD/ontology/39115
NP_232696.1	CARD	http://arpcard.mcmaster.ca/?q=CARD/ontology/39115
NP_233295.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2384
NP_233076.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2383
NP_232407.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2385
NP_232968.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2389
NP_233288.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2386
NP_232989.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2388
NP_232921.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2390
NP_233295.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2384
NP_233076.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2383
NP_232407.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2385
NP_232968.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2389
NP_233288.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2386
NP_232989.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2388
NP_232921.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2390
NP_233315.2	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2392
NP_233281.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2387
NP_232407.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2385
NP_232973.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2391
NP_233288.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2386
NP_232989.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2388
NP_232921.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2390
NP_233315.2	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2392
NP_233281.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2387
NP_232973.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2391
NP_233295.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2384
NP_233076.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2383
NP_232968.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2389
NP_233315.2	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2392
NP_233281.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2387
NP_232973.1	Victors	http://www.phidias.us/victors/gene_detail.php?c_mc_victor_id=2391
