
GLIMMER    (ver.    3.02;    iterated)    predictions:
orf00092    81958    80867    -2    13.83
orf00093    83529    81958    -1    13.48
orf00094    84169    84291    +1    2.42
orf00095    84368    85312    +2    8.15
orf00096    85445    85570    +2    0.19
orf00097    85654    87354    +1    9.65
orf00098    87327    87848    +3    10.62
orf00100    88028    89032    +2    10.79
orf00101    89310    89194    -1    1.87
orf00102    89634    90092    +3    4.51
orf00103    90094    91035    +1    11.03
orf00104    91032    91397    +3    6.49
orf00105    91413    93179    +3    11.52
orf00106    93166    94653    +1    13.49
orf00107    94650    96008    +3    14.23
orf00108    96002    97084    +2    13.07
orf00109    97087    98403    +1    13.61
orf00110    98403    99647    +3    13.96
orf00111    99668    100711    +2    12.11
orf00112    100765    102240    +1    13.09
orf00113    102233    103153    +2    9.97
orf00114    103155    103985    +3    10.72
orf00115    103982    105244    +2    9.09
orf00116    105317    106456    +2    11.30
orf00118    106557    107474    +3    7.42
orf00119    107630    108217    +2    7.01
orf00123    108279    110984    +3    14.89
orf00124    111044    111433    +2    10.37
orf00125    111846    111649    -1    6.96
orf00126    112599    111856    -1    12.43
orf00127    113219    112599    -3    10.89
orf00128    113444    114487    +2    11.89
orf00130    115724    114522    -3    11.47
orf00131    117099    115714    -1    8.19
orf00133    117549    117109    -1    10.34
orf00134    118645    117752    -2    12.61
orf00135    118733    119284    +2    7.01
orf00136    119281    120135    +1    10.70
orf00137    121548    120178    -1    13.43
orf00138    122092    122856    +1    10.18
orf00140    123017    125680    +2    13.36
orf00142    125695    127587    +1    12.96
orf00144    127879    129336    +1    14.69
orf00146    131260    129407    -2    6.12
orf00148    131693    134212    +2    13.53
orf00150    134388    134750    +3    11.23
orf00151    135582    134788    -1    12.92
orf00152    136464    135598    -1    12.74
orf00153    136917    136570    -1    7.69
orf00154    137083    138633    +1    13.89
orf00156    141225    138835    -1    14.13
orf00157    141431    141967    +2    15.53
orf00159    142670    142008    -3    9.16
orf00160    142779    143705    +3    14.16
orf00162    143702    144472    +2    13.49
orf00163    144577    145017    +1    5.79
orf00164    145081    146310    +1    8.75
orf00165    146694    146314    -1    11.64
orf00166    146743    146856    +1    3.00
orf00168    146968    147870    +1    7.19
orf00169    148795    147944    -2    14.89
orf00170    149601    148807    -1    14.66
orf00172    150953    149715    -3    3.09
orf00173    151599    151003    -1    1.45
orf00174    152231    151626    -3    3.86
orf00176    152691    152816    +3    1.00
orf00177    152626    152243    -2    3.22
orf00178    155426    152829    -3    5.63
orf00179    156201    155461    -1    5.41
orf00181    156883    156299    -2    9.46
orf00182    157732    157253    -2    9.88
orf00183    159093    157729    -1    12.62
orf00184    160112    159186    -3    6.89
orf00185    160604    160149    -3    13.15
orf00186    161486    160782    -3    6.18
orf00187    162031    161501    -2    6.75
orf00188    162060    164534    +3    11.61
orf00190    164730    167264    +3    13.67
orf00191    167463    167329    -1    4.38
orf00192    167484    169727    +3    11.37
orf00194    169778    170575    +2    15.01
orf00195    170575    171465    +1    12.38
orf00196    171462    173444    +3    15.51
orf00197    174882    173602    -1    14.99
orf00198    175107    176528    +3    12.95
orf00199    176610    176954    +3    13.67
orf00200    177624    177001    -1    11.63
orf00202    178462    177662    -2    7.99
orf00203    179153    178455    -3    10.12
orf00204    179237    180754    +2    9.59
orf00207    180884    182308    +2    13.88
orf00209    182463    183620    +3    13.60
orf00210    184095    183709    -1    10.69
orf00211    185000    184257    -3    8.84
orf00214    185947    185123    -2    15.70
orf00216    188650    185978    -2    10.98
orf00217    189506    188712    -3    13.31
orf00218    189874    190599    +1    10.70
orf00220    190857    191708    +3    13.23
orf00221    190838    190551    -3    2.31
orf00223    191855    192580    +2    14.10
orf00224    192872    193429    +2    14.82
orf00225    193521    194717    +3    11.20
orf00226    194903    195664    +2    6.29
orf00227    195664    195816    +1    5.34
orf00228    195785    196534    +2    5.99
orf00229    196546    197898    +1    6.26
orf00231    197928    200360    +3    9.85
orf00232    200482    200967    +1    14.47
orf00233    200971    201996    +1    9.50
orf00234    202101    202556    +3    10.28
orf00235    202560    203348    +3    10.51
orf00236    203348    204496    +2    13.35
orf00237    204493    205089    +1    14.09
orf00240    205126    208608    +1    12.14
orf00242    208621    209580    +1    17.77
orf00245    209679    211820    +3    10.17
orf00246    211877    212266    +2    9.49
orf00247    212331    213629    +3    12.17
orf00248    213932    213678    -3    12.12
orf00249    214125    213925    -1    7.44
orf00250    214291    214836    +1    17.14
orf00251    214833    215255    +3    7.54
orf00252    215269    215979    +1    10.53
orf00253    217003    216179    -2    6.06
orf00255    218775    217057    -1    13.08
orf00256    219594    218887    -1    12.04
orf00258    219944    219591    -3    5.70
orf00259    220928    220113    -3    14.77
orf00260    221621    220968    -3    14.38
orf00261    222645    221614    -1    12.28
orf00262    222833    223408    +2    13.05
orf00263    227493    227612    +3    3.11
orf00264    229167    229970    +3    12.76
orf00266    230881    229967    -2    6.32
orf00267    231122    231922    +2    7.32
orf00268    231926    232549    +2    7.00
orf00270    233817    232597    -1    7.82
orf00271    234782    234027    -3    5.19
orf00272    234816    235538    +3    5.72
orf00273    236002    235535    -2    9.95
orf00274    236067    236798    +3    8.30
orf00275    237335    238120    +2    6.91
orf00276    239184    239378    +3    3.25
orf00277    240189    239419    -1    10.33
orf00278    240367    240816    +1    9.63
orf00279    243303    240859    -1    14.38
orf00280    243543    244121    +3    16.26
orf00282    244327    245094    +1    9.69
orf00283    245805    245065    -1    10.67
orf00284    246155    245961    -3    3.40
orf00285    246502    246242    -2    10.42
orf00287    246757    247461    +1    8.07
orf00289    247637    248134    +2    3.49
orf00290    250097    248358    -3    15.38
orf00291    250057    250827    +1    12.67
orf00292    250898    251953    +2    12.16
orf00293    252005    252298    +2    4.20
orf00294    252301    252699    +1    5.60
orf00295    252787    253161    +1    5.39
orf00296    253479    253733    +3    5.59
orf00297    253702    254202    +1    7.11
orf00298    255716    254259    -3    13.71
orf00299    255977    256435    +2    12.97
orf00300    256527    257771    +3    10.45
orf00301    258426    257923    -1    14.02
orf00303    258734    259006    +2    15.46
orf00306    260100    259045    -1    13.03
orf00307    260388    261491    +3    13.46
orf00308    261503    262756    +2    14.58
orf00311    263669    263328    -3    2.85
orf00312    263947    263690    -2    2.15
orf00314    264247    264026    -2    5.00
orf00315    264732    264256    -1    4.80
orf00316    265206    264748    -1    7.72
orf00317    265543    265304    -2    3.97
orf00318    266087    265620    -3    7.43
orf00319    266729    266553    -3    6.43
orf00320    266553    266110    -1    9.55
orf00321    268005    267184    -1    7.77
orf00322    268960    268097    -2    6.75
orf00324    270182    269289    -3    4.09
orf00325    270278    270646    +2    5.08
orf00327    270603    271754    +3    3.07
orf00328    271830    272255    +3    2.05
orf00329    272847    273992    +3    3.80
orf00330    275117    274101    -3    19.94
orf00334    275325    276728    +3    10.13
orf00335    276715    277647    +1    13.34
orf00337    278802    277756    -1    15.60
orf00339    279176    278814    -3    13.79
orf00340    279681    279178    -1    13.20
orf00342    280362    280024    -1    1.44
orf00344    280666    280385    -2    1.27
orf00345    281971    280829    -2    6.58
orf00346    282278    283186    +2    13.89
orf00349    283201    285168    +1    10.31
orf00351    285395    286777    +2    12.61
orf00352    286789    288399    +1    8.33
orf00353    289162    288404    -2    11.14
orf00356    290305    289301    -2    13.25
orf00357    290516    290638    +2    2.83
orf00359    291152    290649    -3    13.20
orf00361    291500    292231    +2    7.31
orf00362    292753    292322    -2    5.12
orf00363    293918    293220    -3    3.48
orf00364    294799    293945    -2    3.28
orf00365    295142    294918    -3    1.54
orf00366    297021    295696    -1    3.28
orf00368    297791    297381    -3    1.05
orf00369    298726    297770    -2    5.51
orf00370    300934    298736    -2    9.22
orf00372    301887    300931    -1    9.03
orf00374    302573    301884    -3    7.32
orf00375    302878    302753    -2    0.39
orf00376    302991    303605    +3    2.53
orf00378    304151    304038    -3    0.32
orf00379    305205    304495    -1    3.69
orf00380    306745    305174    -2    5.75
orf00381    309332    306807    -3    7.66
orf00382    310026    309358    -1    7.49
orf00383    310671    310084    -1    10.27
orf00384    310949    310746    -3    1.51
orf00385    312514    312374    -2    3.86
orf00386    312780    312514    -1    1.63
orf00387    314357    315244    +2    9.61
orf00388    315291    315590    +3    8.29
orf00390    315587    316453    +2    10.62
orf00391    316920    316450    -1    2.10
orf00393    318319    317726    -2    8.08
orf00394    318567    318331    -1    3.09
orf00395    320001    318676    -1    7.91
orf00396    320227    321081    +1    4.39
orf00398    321409    321239    -2    2.59
orf00399    321608    322327    +2    8.38
orf00402    322338    323765    +3    7.94
orf00403    323758    324453    +1    6.56
orf00406    325364    324696    -3    2.19
orf00407    327247    325577    -2    11.41
orf00408    328733    327261    -3    14.83
orf00409    329334    328747    -1    13.85
orf00410    329463    331496    +3    13.30
orf00411    332371    333459    +1    8.34
orf00412    334433    333501    -3    11.18
orf00414    335022    334525    -1    7.45
orf00416    335280    335885    +3    12.52
orf00418    335925    336788    +3    8.10
orf00419    336778    338325    +1    16.31
orf00421    338325    339743    +3    17.45
orf00422    339793    340089    +1    4.34
orf00424    340165    341115    +1    15.99
orf00426    341125    342507    +1    15.45
orf00428    342884    343933    +2    10.22
orf00429    344176    344991    +1    3.67
orf00430    345224    345054    -3    0.64
orf00431    346298    345666    -3    8.51
orf00432    346484    346759    +2    10.71
orf00433    346786    346905    +1    5.04
orf00434    348443    346857    -3    13.52
orf00435    348682    349572    +1    16.57
orf00436    350012    351181    +2    14.46
orf00438    351215    352666    +2    14.64
orf00439    352706    354592    +2    13.95
orf00442    354922    356181    +1    12.61
orf00443    356171    357454    +2    13.46
orf00445    358690    357791    -2    6.91
orf00446    358799    359458    +2    8.17
orf00448    359489    359959    +2    15.21
orf00449    359992    361146    +1    12.37
orf00451    361860    361249    -1    4.34
orf00452    363179    361926    -3    12.04
orf00453    366305    363231    -3    11.90
orf00454    367510    366428    -2    11.73
orf00455    368420    367587    -3    9.07
orf00457    368611    370275    +1    14.59
orf00458    370277    371221    +2    10.45
orf00459    371239    372105    +1    12.53
orf00461    372115    372924    +1    11.28
orf00462    372921    373871    +3    12.91
orf00464    373868    374881    +2    14.40
orf00466    375459    376670    +3    10.80
orf00467    376772    377311    +2    14.75
orf00469    378368    377535    -3    8.89
orf00471    379571    378462    -3    12.12
orf00472    379881    379606    -1    2.89
orf00473    380842    380069    -2    11.66
orf00474    381287    380844    -3    1.41
orf00475    381351    381716    +3    3.99
orf00476    381674    382579    +2    9.67
orf00478    383935    382739    -2    7.89
orf00479    384616    384059    -2    5.69
orf00481    385232    386194    +2    14.18
orf00482    386207    386974    +2    15.63
orf00483    386971    387798    +1    15.16
orf00484    387795    388646    +3    13.47
orf00485    389727    388753    -1    11.37
orf00487    390052    389897    -2    1.80
orf00488    390251    391711    +2    5.45
orf00489    392605    391739    -2    10.62
orf00491    392901    392602    -1    8.29
orf00492    393015    394418    +3    8.82
orf00494    394506    395129    +3    6.45
orf00495    396287    395130    -3    10.48
orf00497    396425    396619    +2    1.48
orf00498    396639    397859    +3    12.83
orf00499    397872    398966    +3    12.45
orf00500    399333    399025    -1    8.18
orf00502    399593    399805    +2    12.58
orf00503    400923    399829    -1    12.74
orf00507    401386    401646    +1    7.89
orf00508    401747    403162    +2    11.75
orf00510    403281    403601    +3    6.35
orf00511    403718    404818    +2    8.12
orf00513    405644    404835    -3    13.97
orf00514    405764    406222    +2    10.00
orf00515    406462    406929    +1    11.80
orf00516    406979    407170    +2    5.55
orf00518    407428    408105    +1    11.99
orf00519    408177    408461    +3    9.88
orf00520    408747    408628    -1    7.89
orf00521    408735    408950    +3    5.50
orf00522    410019    409108    -1    15.65
orf00523    410144    411052    +2    9.34
orf00525    412565    411297    -3    9.72
orf00526    415753    412607    -2    14.13
orf00527    416952    415750    -1    11.96
orf00528    416938    417069    +1    0.20
orf00529    417142    417831    +1    11.32
orf00531    417889    419184    +1    12.09
orf00532    419546    419397    -3    0.20
orf00533    419591    420910    +2    14.33
orf00534    421040    422359    +2    14.87
orf00536    422515    424332    +1    11.87
orf00537    424918    424337    -2    9.04
orf00538    425011    426081    +1    14.47
orf00540    426137    427264    +2    11.80
orf00541    427287    427619    +3    12.20
orf00543    427680    429494    +3    11.38
orf00544    429505    430476    +1    10.98
orf00545    430605    430952    +3    9.03
orf00546    432013    431129    -2    10.91
orf00547    432851    432312    -3    8.07
orf00548    433056    433451    +3    11.22
orf00549    433455    434558    +3    9.79
orf00550    434647    435117    +1    14.53
orf00551    435137    435556    +2    8.98
orf00552    435634    436611    +1    11.92
orf00553    436598    437107    +2    11.89
orf00554    438135    437161    -1    12.31
orf00555    440177    438315    -3    14.45
orf00556    441101    440202    -3    10.87
orf00557    441343    441101    -2    11.34
orf00558    441549    442997    +3    14.55
orf00560    443641    443051    -2    15.79
orf00563    444515    443604    -3    10.63
orf00564    444683    445174    +2    16.65
orf00566    446594    445302    -3    12.25
orf00567    447702    446815    -1    10.87
orf00568    447992    447717    -3    8.00
orf00569    448660    448046    -2    11.73
orf00572    450641    448650    -3    11.82
orf00573    451550    450663    -3    8.30
orf00574    453545    452070    -3    10.11
orf00576    454167    453589    -1    12.97
orf00577    454472    454789    +2    1.83
orf00578    454798    454986    +1    3.95
orf00579    455133    456431    +3    15.08
orf00581    456677    457300    +2    11.09
orf00582    457426    458700    +1    14.50
orf00584    458888    461242    +2    14.69
orf00585    461451    461723    +3    10.70
orf00587    461915    463786    +2    15.35
orf00590    463937    464308    +2    13.23
orf00591    464402    464800    +2    9.56
orf00592    465547    464852    -2    13.32
orf00593    467312    465612    -3    8.76
orf00595    467412    468230    +3    8.54
orf00596    468383    468841    +2    11.11
orf00598    468871    470643    +1    11.92
orf00599    470636    472417    +2    14.09
orf00600    472571    472431    -3    2.30
orf00601    472598    472936    +2    16.34
orf00602    472966    474252    +1    14.00
orf00603    475161    474301    -1    9.48
orf00606    475394    475951    +2    10.61
orf00607    476293    475982    -2    11.43
orf00608    476672    477025    +2    9.85
orf00609    478617    477067    -1    9.64
orf00610    479251    478781    -2    11.70
orf00612    479918    479367    -3    8.45
orf00613    480308    480090    -3    6.56
orf00614    480708    480334    -1    2.47
orf00616    484403    481254    -3    13.63
orf00618    485511    484426    -1    9.07
orf00619    485761    486408    +1    5.27
orf00622    486536    489898    +2    13.99
orf00623    490271    490110    -3    17.16
orf00624    490812    490285    -1    13.65
orf00625    490882    491259    +1    10.77
orf00626    491412    491963    +3    15.29
orf00627    492161    494023    +2    13.87
orf00628    494076    494405    +3    14.97
orf00630    494405    495010    +2    12.13
orf00631    495120    496994    +3    15.70
orf00633    497185    497060    -2    2.75
orf00634    497175    497819    +3    15.12
orf00636    498055    499017    +1    14.21
orf00637    499973    499014    -3    8.83
orf00638    500125    501429    +1    11.94
orf00640    503238    501562    -1    16.16
orf00641    504696    503476    -1    10.42
orf00642    504914    506566    +2    14.41
orf00644    507082    506603    -2    14.40
orf00645    508080    507286    -1    11.49
orf00647    508218    508559    +3    6.07
orf00649    511379    508875    -3    15.05
orf00650    511641    512573    +3    11.60
orf00651    512576    513868    +2    13.23
orf00652    513993    514400    +3    14.46
orf00653    514859    514401    -3    10.03
orf00654    515773    514856    -2    16.41
orf00655    515919    516596    +3    9.13
orf00656    516583    517362    +1    11.88
orf00658    518279    517425    -3    18.17
orf00659    519110    518340    -3    12.04
orf00660    519762    519139    -1    10.45
orf00661    519733    520419    +1    10.77
orf00662    520416    522830    +3    14.49
orf00666    523261    527541    +1    5.27
orf00667    527581    527949    +1    2.78
orf00668    527949    528659    +3    2.44
orf00669    530016    529645    -1    5.49
orf00670    531226    530132    -2    13.69
orf00671    532221    531295    -1    11.71
orf00672    532451    532933    +2    12.99
orf00674    533056    533826    +1    9.48
orf00676    533916    535697    +3    13.91
orf00677    535710    536486    +3    12.42
orf00678    536586    537464    +3    13.91
orf00679    537633    539087    +3    11.29
orf00680    539147    540508    +2    14.88
orf00681    540565    541866    +1    10.53
orf00682    541888    543033    +1    15.15
orf00683    544046    543261    -3    13.37
orf00684    545292    544057    -1    12.35
orf00685    546363    545314    -1    8.41
orf00686    546680    548347    +2    14.84
orf00687    548357    549616    +2    13.59
orf00689    549627    550442    +3    7.64
orf00690    550439    551332    +2    15.17
orf00691    552594    551527    -1    16.06
orf00692    553100    552591    -3    16.47
orf00693    553940    553218    -3    12.20
orf00694    554437    553943    -2    13.50
orf00695    554611    555996    +1    14.55
orf00698    556553    556032    -3    8.35
orf00699    556873    556661    -2    14.45
orf00700    557741    556875    -3    13.17
orf00701    558212    558754    +2    7.01
orf00703    558974    559666    +2    4.48
orf00704    559697    562300    +2    5.20
orf00705    562342    563319    +1    5.56
orf00706    563648    563845    +2    2.40
orf00707    564480    563848    -1    4.07
orf00708    564535    564690    +1    1.14
orf00709    565978    564815    -2    3.37
orf00710    566295    566098    -1    10.98
orf00711    566475    566687    +3    2.05
orf00712    566842    567141    +1    8.29
orf00714    567138    568004    +3    10.62
orf00715    568315    568647    +1    3.94
orf00716    568695    568844    +3    1.76
orf00717    568902    570428    +3    3.23
orf00718    571277    571155    -3    2.66
orf00720    571454    572251    +2    3.26
orf00721    572466    572921    +3    5.73
orf00723    573084    573374    +3    5.67
orf00724    573371    573733    +2    8.12
orf00725    573733    573870    +1    4.29
orf00727    573956    574339    +2    3.41
orf00728    575753    574737    -3    19.94
orf00731    576885    575758    -1    5.75
orf00733    577398    577613    +3    3.74
orf00736    577613    578110    +2    5.89
orf00738    578107    578568    +1    6.82
orf00739    578893    578600    -2    5.18
orf00740    579880    580086    +1    4.46
orf00741    580385    580251    -3    0.88
orf00742    580834    581379    +1    10.54
orf00743    581354    582097    +2    7.01
orf00745    582875    583060    +2    7.38
orf00746    583681    584430    +1    2.97
orf00747    585633    584680    -1    3.40
orf00748    586908    586147    -1    7.56
orf00750    587981    587091    -3    11.27
orf00751    590954    587982    -3    9.27
orf00753    593178    590941    -1    10.08
orf00754    594770    593328    -3    10.86
orf00755    595443    594760    -1    12.97
orf00756    595490    595645    +2    1.43
orf00757    595600    596973    +1    12.94
orf00759    597131    597463    +2    14.15
orf00761    597479    598702    +2    12.93
orf00762    598714    601857    +1    13.48
orf00763    601923    603335    +3    14.59
orf00764    604663    603416    -2    13.76
orf00765    605424    604771    -1    15.06
orf00767    605886    605518    -1    8.94
orf00768    606199    605951    -2    13.39
orf00769    607383    606265    -1    10.89
orf00770    607836    607988    +3    4.50
orf00771    608065    609177    +1    6.83
orf00772    609371    609484    +2    1.22
orf00773    610088    609459    -3    6.47
orf00775    612494    610254    -3    13.25
orf00776    612487    612618    +1    1.91
orf00777    612737    613939    +2    7.98
orf00778    613942    614160    +1    6.75
orf00780    614157    618038    +3    12.79
orf00781    618146    618027    -3    1.12
orf00782    618254    619387    +2    10.76
orf00783    620199    619384    -1    13.07
orf00784    621188    620196    -3    14.20
orf00785    622189    621185    -2    15.43
orf00786    622300    623550    +1    14.64
orf00788    624510    623554    -1    13.86
orf00789    624885    626060    +3    13.04
orf00791    626070    627680    +3    14.33
orf00792    627694    628551    +1    16.81
orf00794    628551    629297    +3    15.90
orf00795    629300    629713    +2    9.18
orf00796    629894    631999    +2    16.19
orf00797    632182    632379    +1    13.31
orf00798    633477    632389    -1    14.45
orf00799    633586    634746    +1    11.65
orf00800    635364    634747    -1    11.78
orf00801    636569    635349    -3    6.58
orf00802    637618    636716    -2    3.35
orf00803    638573    637827    -3    9.29
orf00804    638945    639508    +2    11.25
orf00806    639754    639638    -2    2.87
orf00808    639753    641318    +3    14.93
orf00811    641867    641439    -3    8.70
orf00813    642088    643326    +1    7.22
orf00814    643518    643330    -1    2.54
orf00815    643967    643557    -3    10.42
orf00817    645003    644197    -1    8.33
orf00818    646547    645117    -3    11.68
orf00819    647503    646631    -2    8.55
orf00820    648035    647484    -3    7.62
orf00822    649571    648039    -3    14.67
orf00823    650490    649582    -1    15.64
orf00825    650783    650487    -3    10.44
orf00828    651856    650798    -2    10.53
orf00829    652235    653893    +2    10.40
orf00830    653862    654542    +3    10.43
orf00831    655968    654583    -1    11.80
orf00832    656071    655952    -2    1.15
orf00834    656557    657117    +1    8.21
orf00836    657292    657501    +1    5.20
orf00837    657938    657555    -3    2.92
orf00838    658031    658258    +2    11.77
orf00839    658255    658818    +1    11.79
orf00840    658947    659150    +3    8.60
orf00841    660216    659251    -1    12.70
orf00844    661378    660425    -2    5.56
orf00845    662278    661637    -2    10.32
orf00846    662642    662379    -3    9.95
orf00847    664035    662752    -1    12.12
orf00848    664000    664125    +1    2.40
orf00850    665190    664102    -1    8.21
orf00851    666313    665201    -2    10.43
orf00853    668217    666316    -1    12.18
orf00854    668715    668248    -1    10.62
orf00856    669036    668719    -1    11.49
orf00857    669907    669296    -2    6.27
orf00858    670572    669931    -1    9.83
orf00859    671605    670574    -2    10.48
orf00860    672186    671605    -1    10.65
orf00863    674783    672201    -3    13.99
orf00864    675018    675500    +3    12.02
orf00866    676547    675570    -3    6.57
orf00868    676711    677418    +1    4.85
orf00869    677415    678842    +3    8.16
orf00870    679406    678852    -3    4.18
orf00871    679508    680215    +2    4.02
orf00872    680212    681663    +1    7.76
orf00874    683393    681723    -3    10.93
orf00875    684412    683477    -2    13.23
orf00876    685255    684530    -2    16.41
orf00877    685929    685255    -1    12.28
orf00878    686669    685929    -3    13.52
orf00879    687747    686839    -1    13.98
orf00880    689013    687997    -1    19.94
orf00882    689236    689358    +1    0.67
orf00883    690881    689343    -3    15.11
orf00884    691784    690906    -3    12.61
orf00885    692341    691874    -2    14.59
orf00886    693378    692338    -1    14.00
orf00890    694955    693531    -3    13.78
orf00892    695101    696276    +1    13.44
orf00893    699146    699310    +2    0.09
orf00894    699177    697513    -1    12.55
orf00895    700326    699574    -1    13.81
orf00897    701594    700374    -3    12.84
orf00898    702751    701603    -2    14.59
orf00899    703611    702811    -1    13.28
orf00900    703785    703660    -1    1.36
orf00902    703944    705890    +3    14.80
orf00903    705982    705860    -2    7.49
orf00905    706093    707757    +1    13.92
orf00906    708334    709740    +1    10.73
orf00908    709790    710116    +2    13.33
orf00911    710646    710200    -1    10.23
orf00912    711465    710935    -1    15.10
orf00913    711898    711605    -2    11.26
orf00914    712802    712038    -3    11.36
orf00915    712987    713532    +1    8.35
orf00917    713558    715198    +2    14.39
orf00919    715412    715906    +2    3.19
orf00920    716309    715947    -3    2.58
orf00921    716597    716388    -3    8.91
orf00922    718265    716946    -3    11.32
orf00923    720460    718262    -2    11.04
orf00926    721733    721056    -3    13.13
orf00927    724414    721730    -2    11.87
orf00929    724979    724407    -3    12.46
orf00932    727036    724988    -2    14.78
orf00933    728935    728732    -2    1.27
orf00935    728732    727059    -3    13.98
orf00936    729134    729340    +2    9.90
orf00937    729583    733776    +1    10.47
orf00939    734220    735653    +3    7.85
orf00941    735650    736219    +2    1.48
orf00942    736445    736699    +2    9.99
orf00943    736918    737961    +1    6.96
orf00944    738092    738853    +2    9.61
orf00945    739001    739510    +2    9.10
orf00946    739507    740925    +1    10.38
orf00947    742556    741075    -3    12.76
orf00949    742827    743570    +3    14.78
orf00950    743593    744249    +1    11.51
orf00952    744243    745175    +3    12.40
orf00953    745165    745899    +1    14.47
orf00954    745935    746726    +3    11.00
orf00955    747769    746723    -2    9.30
orf00956    748982    747921    -3    6.18
orf00958    749707    748979    -2    8.16
orf00959    752169    749722    -1    9.03
orf00960    752795    752229    -3    6.17
orf00961    754468    753185    -2    12.13
orf00962    755279    755566    +2    4.33
orf00963    755560    755907    +1    11.12
orf00964    755907    757673    +3    13.08
orf00966    757689    758405    +3    8.91
orf00968    758706    761507    +3    13.07
orf00970    761522    762739    +2    15.46
orf00972    763014    764180    +3    15.50
orf00974    764180    765049    +2    13.20
orf00976    765875    765153    -3    11.51
orf00977    766044    767960    +3    11.13
orf00978    767978    770611    +2    9.96
orf00979    770636    770863    +2    0.09
orf00981    771458    773026    +2    11.49
orf00982    773042    774181    +2    13.81
orf00984    774196    774309    +1    8.23
orf00985    774309    774602    +3    6.12
orf00986    774752    775156    +2    4.65
orf00987    775162    775845    +1    9.22
orf00989    775849    776277    +1    10.18
orf00990    776342    777607    +2    9.76
orf00991    777740    779032    +2    10.13
orf00992    779067    779588    +3    11.41
orf00993    779598    780389    +3    10.26
orf00994    782094    783128    +3    7.79
orf00995    783181    783885    +1    7.36
orf00996    784823    783882    -3    6.37
orf00997    785317    784937    -2    10.14
orf00999    785633    786685    +2    13.81
orf01000    787595    786843    -3    15.06
orf01001    787797    787669    -1    0.72
orf01002    788837    787797    -3    13.75
orf01003    789979    788831    -2    12.71
orf01004    791029    789983    -2    11.24
orf01006    792055    791039    -2    14.05
orf01007    793788    792316    -1    11.77
orf01008    794644    793856    -2    13.60
orf01010    794773    794922    +1    7.47
orf01012    795089    795862    +2    13.55
orf01013    795862    796551    +1    11.38
orf01015    796554    797612    +3    15.87
orf01016    798431    797613    -3    12.15
orf01017    798586    799581    +1    11.94
orf01018    800575    799622    -2    6.09
orf01020    800545    800673    +1    0.52
orf01021    800759    801811    +2    9.59
orf01023    801887    803320    +2    14.05
orf01024    803503    805764    +1    13.18
orf01026    807281    805998    -3    11.33
orf01027    807909    807433    -1    14.89
orf01029    809200    807968    -2    13.54
