        
GLIMMER    (ver.    3.02;    iterated)    predictions:
orf00084    71662    73818    +1    8.98
orf00086    73881    74663    +3    10.44
orf00088    74787    75170    +3    6.98
orf00090    76153    75266    -2    9.30
orf00091    76635    76210    -1    11.24
orf00092    76800    77327    +3    9.83
orf00093    77403    77726    +3    6.46
orf00094    77868    79055    +3    12.33
orf00095    79963    79052    -2    12.64
orf00097    80086    81618    +1    15.43
orf00098    81663    82445    +3    13.24
orf00099    82454    83077    +2    14.77
orf00100    83074    84708    +1    10.28
orf00101    84768    85016    +3    13.36
orf00102    85020    85421    +3    8.94
orf00103    85510    86262    +1    11.24
orf00105    86574    87575    +3    8.87
orf00106    89036    87681    -3    9.77
orf00107    89928    89116    -1    9.43
orf00108    90642    90013    -1    13.32
orf00109    90962    93388    +2    12.91
orf00110    94318    93464    -2    8.35
orf00111    94858    94319    -2    8.00
orf00112    95089    95472    +1    7.41
orf00116    97571    95592    -3    7.57
orf00118    98779    97946    -2    9.50
orf00119    99106    98786    -2    10.13
orf00120    99757    99635    -2    3.46
orf00121    100634    99867    -3    9.04
orf00123    100824    100690    -1    3.29
orf00124    100811    101854    +2    11.88
orf00125    101961    102389    +3    8.53
orf00126    103036    102908    -2    1.66
orf00127    103098    105902    +3    12.75
orf00128    105968    105855    -3    3.99
orf00130    107311    106649    -2    11.92
orf00131    107463    108080    +3    7.44
orf00132    108282    108920    +3    6.29
orf00133    108920    109468    +2    12.43
orf00134    109478    109966    +2    13.07
orf00135    110105    111493    +2    11.96
orf00136    112705    111557    -2    13.33
orf00137    113949    112750    -1    12.26
orf00140    114700    113933    -2    7.90
orf00141    115696    114761    -2    10.89
orf00143    115930    118584    +1    10.63
orf00145    119004    118690    -1    12.86
orf00146    119080    119196    +1    6.54
orf00147    119229    120482    +3    11.89
orf00148    120494    121324    +2    11.64
orf00149    121338    122036    +3    10.43
orf00151    122005    122940    +1    8.36
orf00152    122943    123662    +3    8.61
orf00153    123772    126261    +1    9.01
orf00154    126890    126294    -3    5.21
orf00155    128431    126887    -2    9.90
orf00156    129581    128715    -3    11.02
orf00158    130673    129657    -3    5.84
orf00159    130748    131365    +2    6.33
orf00160    131385    132611    +3    8.20
orf00161    132738    132619    -1    0.50
orf00162    133261    132791    -2    11.98
orf00163    133760    133431    -3    9.05
orf00164    133965    134333    +3    7.94
orf00166    134836    135093    +1    5.31
orf00167    135210    135839    +3    6.45
orf00168    136154    135888    -3    13.78
orf00169    136660    136151    -2    8.57
orf00172    136954    138129    +1    15.52
orf00173    138178    138852    +1    11.43
orf00175    138842    139834    +2    11.39
orf00176    140004    140864    +3    13.35
orf00177    142466    141066    -3    11.29
orf00178    142774    143415    +1    12.43
orf00180    143455    143826    +1    5.69
orf00181    144972    143863    -1    12.74
orf00183    145370    147205    +2    7.09
orf00185    148993    147278    -2    5.86
orf00186    149278    150075    +1    7.50
orf00187    150499    150041    -2    6.90
orf00188    150905    151024    +2    0.32
orf00190    155762    155328    -3    10.17
orf00191    157303    156407    -2    6.93
orf00192    157441    158925    +1    13.63
orf00194    159303    159052    -1    19.40
orf00195    162529    159419    -2    9.34
orf00196    163647    162541    -1    12.10
orf00198    164235    163666    -1    7.24
orf00200    164408    166423    +2    11.76
orf00201    166897    166490    -2    6.11
orf00204    168031    168240    +1    0.27
orf00206    168532    170247    +1    11.74
orf00208    170339    171895    +2    13.20
orf00209    172050    173027    +3    9.40
orf00210    173030    173968    +2    12.63
orf00211    174143    175090    +2    10.43
orf00213    176932    175343    -2    3.12
orf00214    177873    178424    +3    1.33
orf00216    179338    180405    +1    3.34
orf00217    180425    181729    +2    3.32
orf00218    181732    183486    +1    3.01
orf00219    184115    183957    -3    9.51
orf00220    186471    184360    -1    3.14
orf00222    188169    186481    -1    3.22
orf00223    189368    188166    -3    3.27
orf00225    190809    189457    -1    12.96
orf00226    191754    190915    -1    12.53
orf00228    191908    194076    +1    13.89
orf00229    194214    196385    +3    13.62
orf00230    197798    197130    -3    5.35
orf00231    198667    197873    -2    11.49
orf00232    200587    198833    -2    13.13
orf00234    201603    200761    -1    11.09
orf00235    201602    201721    +2    10.71
orf00237    201803    203665    +2    13.45
orf00238    203658    203957    +3    10.79
orf00239    204128    204490    +2    8.43
orf00240    206355    204526    -1    12.19
orf00242    206490    208589    +3    12.53
orf00243    208720    209505    +1    11.40
orf00244    209496    210455    +3    10.01
orf00245    210452    212413    +2    9.54
orf00247    213288    212440    -1    13.06
orf00248    213519    214421    +3    12.66
orf00250    214452    215897    +3    15.08
orf00251    216492    216004    -1    12.82
orf00252    217424    216558    -3    16.13
orf00253    217588    218304    +1    14.51
orf00254    218670    219311    +3    14.27
orf00255    220374    219397    -1    11.23
orf00256    221332    220385    -2    10.73
orf00257    221928    221338    -1    11.18
orf00258    221884    222021    +1    1.37
orf00259    223286    222087    -3    9.03
orf00260    223469    225148    +2    14.88
orf00261    225260    225934    +2    10.87
orf00262    226226    226092    -3    1.19
orf00263    226229    226465    +2    4.80
orf00264    226479    226646    +3    5.76
orf00266    226873    227355    +1    10.56
orf00267    227365    228174    +1    12.30
orf00268    228765    228271    -1    11.12
orf00271    228876    229913    +3    9.53
orf00273    230754    229975    -1    10.88
orf00276    231864    230797    -1    10.71
orf00277    231950    232705    +2    6.29
orf00278    232709    233668    +2    3.24
orf00279    234601    233672    -2    6.06
orf00281    235326    234598    -1    6.98
orf00282    236921    235338    -3    8.03
orf00283    237292    236912    -2    6.35
orf00284    238569    237289    -1    6.18
orf00285    239351    238569    -3    7.36
orf00286    240403    239354    -2    6.43
orf00287    241437    240400    -1    6.53
orf00288    242636    241437    -3    3.08
orf00289    243198    242638    -1    4.04
orf00290    244984    243212    -2    7.86
orf00291    246087    245143    -1    9.25
orf00292    246640    247926    +1    5.41
orf00293    247929    249320    +3    7.37
orf00294    249323    250444    +2    3.23
orf00295    250455    251558    +3    3.18
orf00296    251564    252946    +2    3.08
orf00297    252933    253712    +3    3.04
orf00298    253714    254466    +1    3.26
orf00299    254514    254747    +3    4.10
orf00300    254753    256168    +2    3.16
orf00303    256177    257301    +1    3.31
orf00304    257292    259769    +3    3.07
orf00305    259839    260405    +3    1.41
orf00306    260793    260990    +3    7.73
orf00307    260997    261701    +3    4.53
orf00308    262362    262670    +3    2.92
orf00310    262667    263539    +2    4.77
orf00311    263563    264219    +1    3.14
orf00314    265366    264254    -2    3.28
orf00315    267074    265374    -3    3.47
orf00317    267392    268363    +2    4.21
orf00318    268371    268925    +3    5.62
orf00319    268912    269028    +1    2.35
orf00320    269119    270435    +1    11.22
orf00321    271935    270697    -1    13.70
orf00322    272562    271990    -1    8.79
orf00324    273485    272562    -3    13.45
orf00326    273559    274146    +1    14.80
orf00327    274509    275708    +3    3.15
orf00328    275767    276654    +1    3.47
orf00330    278060    277002    -3    11.24
orf00332    278432    278704    +2    11.96
orf00333    278750    279439    +2    12.66
orf00335    280828    279539    -2    15.20
orf00337    282479    280887    -3    13.69
orf00338    282734    282555    -3    1.76
orf00339    282768    283166    +3    12.14
orf00340    283393    284952    +1    11.82
orf00343    285652    286989    +1    11.41
orf00345    287099    289234    +2    11.80
orf00346    290992    289352    -2    14.36
orf00347    291934    291257    -2    7.66
orf00348    292431    291955    -1    11.88
orf00349    293997    292513    -1    8.49
orf00350    294824    294219    -3    11.49
orf00352    296168    294837    -3    11.48
orf00353    296367    296882    +3    11.79
orf00354    296879    298675    +2    11.17
orf00356    299750    298752    -3    11.17
orf00357    300185    299889    -3    8.26
orf00358    301072    300209    -2    9.59
orf00359    302204    301317    -3    13.50
orf00360    302301    302185    -1    1.72
orf00362    303756    302413    -1    12.06
orf00363    304232    303771    -3    10.14
orf00364    304741    304289    -2    8.19
orf00365    307070    305121    -3    12.31
orf00366    307902    307273    -1    10.72
orf00367    309734    307911    -3    10.34
orf00368    309951    309832    -1    1.03
orf00369    309994    311184    +1    10.55
orf00370    311277    314720    +3    8.59
orf00373    316336    314843    -2    9.97
orf00374    317660    316344    -3    7.50
orf00375    317772    318098    +3    7.67
orf00376    318296    319555    +2    11.23
orf00377    319654    320646    +1    9.86
orf00378    320728    322569    +1    7.94
orf00379    322566    322835    +3    4.33
orf00380    322851    323561    +3    8.56
orf00381    323966    323829    -3    0.04
orf00383    328929    328495    -1    10.17
orf00384    331051    329711    -2    8.60
orf00387    331568    331146    -3    7.09
orf00388    331605    332678    +3    8.67
orf00389    332675    333637    +2    11.21
orf00390    334610    333687    -3    8.32
orf00391    335326    336510    +1    8.30
orf00392    336734    337114    +2    6.96
orf00393    337130    337678    +2    11.19
orf00394    337809    338237    +3    4.93
orf00395    338242    338943    +1    7.69
orf00396    339213    339701    +3    8.91
orf00397    339768    340133    +3    8.73
orf00398    340374    344399    +3    9.75
orf00399    344504    348709    +2    8.91
orf00400    349308    348820    -1    9.37
orf00401    349492    350268    +1    11.23
orf00402    350523    351590    +3    12.79
orf00403    351686    352324    +2    11.73
orf00404    352411    353370    +1    9.93
orf00405    354515    353367    -3    11.70
orf00406    356216    354684    -3    12.80
orf00407    357246    356359    -1    8.55
orf00408    358813    357398    -2    8.75
orf00410    359878    359021    -2    10.64
orf00412    361034    359871    -3    8.02
orf00413    361157    361702    +2    11.09
orf00416    364684    363575    -2    6.15
orf00417    364889    365353    +2    4.69
orf00418    365428    367065    +1    7.92
orf00419    367072    369033    +1    7.95
orf00420    369063    369977    +3    6.04
orf00421    370149    370412    +3    5.81
orf00423    370445    371734    +2    5.98
orf00424    371780    372967    +2    10.32
orf00425    372970    373950    +1    10.89
orf00426    374011    374199    +1    2.82
orf00427    374467    374240    -2    11.35
orf00428    375450    374470    -1    9.03
orf00429    375590    376369    +2    12.86
orf00431    376574    377290    +2    12.27
orf00432    377287    377682    +1    10.31
orf00433    377679    378035    +3    9.80
orf00434    378045    378320    +3    3.22
orf00435    378505    378879    +1    2.40
orf00436    378995    379465    +2    8.82
orf00437    379541    381637    +2    9.37
orf00438    381760    382944    +1    8.46
orf00440    383295    383435    +3    7.62
orf00441    383505    383981    +3    12.90
orf00442    384193    384561    +1    10.00
orf00444    384722    384871    +2    3.48
orf00445    384887    385114    +2    7.94
orf00446    385148    385597    +2    9.27
orf00447    386423    385659    -3    5.43
orf00448    386594    388000    +2    11.56
orf00449    388005    389099    +3    9.69
orf00451    389601    389182    -1    4.73
orf00453    389886    391538    +3    10.49
orf00454    391741    392919    +1    7.47
orf00456    393497    393036    -3    8.24
orf00457    393971    393507    -3    3.48
orf00458    394362    395312    +3    11.53
orf00459    395448    395326    -1    3.46
orf00461    395473    395685    +1    14.12
orf00462    395774    396439    +2    10.00
orf00463    396414    396563    +3    1.53
orf00464    396560    396790    +2    9.81
orf00465    396897    398720    +3    10.23
orf00467    398720    400453    +2    10.77
orf00468    400446    401207    +3    7.69
orf00471    401597    401716    +2    0.32
orf00472    406535    406101    -3    10.17
orf00473    408840    407506    -1    8.10
orf00474    409037    412717    +2    9.51
orf00475    414145    412790    -2    12.30
orf00476    414609    415727    +3    10.21
orf00477    417590    415806    -3    6.82
orf00478    420477    417655    -1    10.93
orf00479    421439    420633    -3    13.63
orf00480    422322    421678    -1    8.96
orf00481    422614    423147    +1    10.91
orf00482    423325    425283    +1    7.73
orf00483    425296    426735    +1    9.82
orf00484    426732    427382    +3    8.43
orf00485    427396    427692    +1    5.33
orf00487    427707    429386    +3    7.93
orf00488    429391    430236    +1    8.90
orf00491    430233    431384    +3    9.15
orf00492    431374    433101    +1    12.56
orf00493    433110    434333    +3    10.63
orf00494    434336    434788    +2    4.31
orf00496    434833    435423    +1    7.80
orf00498    435458    435985    +2    3.19
orf00499    436022    436510    +2    2.69
orf00500    436500    437069    +3    7.66
orf00501    437069    437839    +2    6.36
orf00503    437814    438236    +3    5.14
orf00505    438229    441987    +1    5.01
orf00506    442155    443198    +3    13.74
orf00508    443255    444145    +2    10.37
orf00509    444132    444620    +3    10.29
orf00510    444617    445180    +2    6.68
orf00511    445206    446675    +3    11.67
orf00512    446724    450563    +3    10.12
orf00514    450572    451399    +2    7.44
orf00515    451399    452844    +1    14.10
orf00516    454163    452940    -3    9.61
orf00518    454890    455312    +3    13.76
orf00519    455459    456256    +2    9.83
orf00522    456708    456325    -1    8.31
orf00523    457296    456859    -1    10.04
orf00524    459982    457418    -2    10.33
orf00525    461121    460153    -1    10.60
orf00527    461963    461445    -3    12.20
orf00528    462243    463178    +3    13.66
orf00529    463652    465058    +2    9.73
orf00531    466178    465207    -3    13.11
orf00533    466449    466760    +3    8.57
orf00534    466781    467041    +2    6.92
orf00535    467264    468436    +2    12.54
orf00536    468558    469319    +3    9.69
orf00537    469319    469792    +2    9.33
orf00539    469805    470302    +2    9.61
orf00541    471260    470451    -3    9.50
orf00542    471651    471271    -1    8.05
orf00543    472538    471723    -3    10.87
orf00544    473544    472552    -1    9.52
orf00545    474829    473534    -2    12.31
orf00546    477233    474882    -3    9.10
orf00547    477392    478246    +2    12.92
orf00549    480919    479294    -2    13.48
orf00550    482810    481683    -3    9.94
orf00551    483184    482912    -2    10.53
orf00552    484259    483198    -3    8.70
orf00554    484499    485218    +2    12.00
orf00555    485329    486249    +1    10.99
orf00557    487645    486470    -2    14.02
orf00558    488241    487639    -1    12.24
orf00559    488742    488311    -1    15.74
orf00560    489078    488788    -1    12.13
orf00561    489635    489078    -3    10.32
orf00562    490507    489689    -2    15.59
orf00563    491270    490560    -3    10.16
orf00564    491296    492333    +1    10.73
orf00565    492348    493454    +3    15.30
orf00566    493572    494369    +3    13.12
orf00567    494478    495758    +3    12.84
orf00568    496218    495796    -1    13.54
orf00570    496862    496299    -3    8.74
orf00571    497854    496898    -2    13.40
orf00572    498599    497868    -3    12.40
orf00573    499432    498737    -2    8.87
orf00574    500048    499560    -3    8.64
orf00575    501327    500170    -1    12.45
orf00576    501655    501500    -2    2.70
orf00577    501692    503689    +2    12.34
orf00579    504657    503761    -1    10.63
orf00580    504853    506760    +1    9.53
orf00581    506912    507937    +2    6.92
orf00582    508086    509249    +3    11.84
orf00584    509405    510481    +2    7.43
orf00585    510777    511640    +3    10.51
orf00586    512339    511704    -3    8.23
orf00587    512504    513400    +2    9.97
orf00588    513501    514196    +3    10.46
orf00589    514529    514660    +2    5.09
orf00590    516144    514732    -1    8.85
orf00592    516638    517342    +2    11.92
orf00593    517405    519237    +1    12.35
orf00594    520377    519298    -1    10.69
orf00595    520665    520519    -1    2.07
orf00597    522394    520634    -2    8.59
orf00598    525117    523156    -1    3.19
orf00599    525630    525118    -1    2.56
orf00600    526789    525623    -2    3.10
orf00601    527920    527045    -2    3.16
orf00603    528377    528949    +2    0.63
orf00605    529011    529685    +3    3.46
orf00606    529739    530338    +2    5.62
orf00607    530402    530602    +2    2.00
orf00608    530684    531124    +2    7.09
orf00609    531924    531436    -1    3.47
orf00610    532217    532071    -3    1.40
orf00611    532396    532244    -2    2.49
orf00612    533030    532899    -3    9.04
orf00613    533611    533360    -2    3.51
orf00614    534722    534198    -3    3.01
orf00616    535120    535299    +1    0.64
orf00617    535625    536698    +2    4.82
orf00618    537103    536876    -2    7.59
orf00619    537519    537151    -1    4.45
orf00620    538284    537550    -1    5.52
orf00621    538599    538423    -1    3.19
orf00622    539046    538603    -1    10.68
orf00623    539534    539097    -3    6.25
orf00624    540004    539531    -2    8.93
orf00625    540631    540879    +1    0.78
orf00626    541331    542908    +2    3.25
orf00627    544380    545177    +3    3.40
orf00628    545174    547054    +2    3.14
orf00629    547158    548390    +3    3.20
orf00630    550021    548780    -2    3.18
orf00631    552284    550407    -3    12.93
orf00632    553567    552383    -2    7.74
orf00633    554145    553561    -1    7.82
orf00634    554678    554235    -3    12.80
orf00635    554923    554708    -2    3.15
orf00637    555121    554951    -2    2.02
orf00638    555164    555457    +2    11.19
orf00639    555427    556182    +1    9.93
orf00641    556336    557148    +1    10.48
orf00645    557823    557197    -1    9.39
orf00647    558012    558365    +3    13.35
orf00648    558362    558868    +2    8.67
orf00649    558865    559668    +1    11.37
orf00650    559783    560067    +1    13.65
orf00651    560064    560762    +3    11.57
orf00653    560759    561235    +2    14.66
orf00654    561265    562350    +1    9.70
orf00655    562352    563104    +2    7.77
orf00656    563097    563723    +3    11.95
orf00657    563723    564658    +2    3.72
orf00658    564732    565739    +3    13.35
orf00659    568417    565832    -2    12.21
orf00660    569575    568688    -2    10.36
orf00661    569959    570960    +1    14.26
orf00663    571037    571888    +2    11.26
orf00664    571899    572762    +3    11.95
orf00665    572759    573889    +2    13.13
orf00666    574056    574562    +3    9.08
orf00667    574696    575760    +1    12.62
orf00668    575893    576351    +1    9.96
orf00669    576524    579106    +2    12.40
orf00670    579138    579257    +3    3.58
orf00671    579310    580497    +1    6.94
orf00672    580589    580786    +2    11.37
orf00673    582357    582617    +3    0.49
orf00674    582652    584439    +1    13.01
orf00675    584449    585579    +1    10.97
orf00676    585702    586652    +3    10.41
orf00677    586646    587107    +2    9.73
orf00679    587117    589972    +2    11.58
orf00680    590084    591658    +2    10.56
orf00681    591707    592225    +2    13.79
orf00683    593575    592295    -2    11.99
orf00684    594452    593658    -3    11.04
orf00685    594665    596050    +2    15.17
orf00688    596286    596534    +3    6.79
orf00689    596562    597116    +3    8.55
orf00690    597144    597887    +3    6.66
orf00691    597929    598282    +2    7.85
orf00692    599461    598403    -2    10.78
orf00694    601005    599638    -1    11.03
orf00695    601574    601137    -3    13.45
orf00696    601728    602831    +3    6.44
orf00698    603055    603483    +1    5.99
orf00699    603499    603891    +1    6.18
orf00701    604219    604812    +1    5.55
orf00702    604812    606077    +3    8.04
orf00703    606074    606811    +2    10.41
orf00704    606911    607546    +2    8.91
orf00705    607558    608022    +1    7.70
orf00706    608659    608090    -2    9.38
orf00707    609252    608662    -1    9.03
orf00708    609579    609256    -1    6.66
orf00710    611422    609611    -2    8.96
orf00712    611486    612352    +2    7.21
orf00713    612940    612566    -2    9.22
orf00714    613215    612937    -1    7.37
orf00716    613472    614005    +2    12.90
orf00717    614748    614080    -1    8.44
orf00718    614896    616542    +1    10.15
orf00720    616926    617843    +3    14.52
orf00721    617849    618619    +2    9.73
orf00723    619564    618683    -2    11.66
orf00725    620369    619575    -3    10.00
orf00726    620875    620372    -2    3.76
orf00727    622245    620872    -1    10.96
orf00728    623226    622336    -1    8.11
orf00729    623745    623299    -1    9.74
orf00730    624604    623870    -2    6.68
orf00731    624851    626203    +2    6.77
orf00732    626302    628764    +1    11.13
orf00733    628761    631094    +3    12.17
orf00734    631334    633625    +2    9.80
orf00736    633890    636487    +2    12.23
orf00738    636642    637022    +3    10.66
orf00740    637200    637538    +3    11.73
orf00741    637560    638246    +3    8.40
orf00742    638246    638788    +2    11.32
orf00743    638930    639943    +2    14.14
orf00744    640027    641652    +1    9.22
orf00745    641652    642683    +3    12.84
orf00746    644226    642814    -1    12.69
orf00747    646754    644349    -3    11.07
orf00748    648786    646873    -1    11.88
orf00749    649667    648783    -3    9.29
orf00750    651388    649664    -2    7.15
orf00751    652440    651445    -1    10.97
orf00752    653466    652483    -1    9.04
orf00754    654494    653469    -3    9.94
orf00755    655483    654497    -2    10.47
orf00756    657323    655653    -3    9.05
orf00757    661623    658234    -1    10.47
orf00758    662853    661831    -1    8.74
orf00759    664011    662926    -1    9.91
orf00760    664087    664203    +1    3.24
orf00761    665563    664265    -2    12.29
orf00762    665578    665727    +1    0.52
orf00763    665847    666188    +3    4.48
orf00764    666286    667386    +1    10.02
orf00765    667397    670516    +2    10.16
orf00767    671899    670598    -2    9.76
orf00768    672030    673217    +3    10.62
orf00769    674601    673285    -1    8.26
orf00770    675853    674828    -2    7.87
orf00771    676408    676881    +1    13.80
orf00772    677254    676958    -2    7.84
orf00773    677374    678003    +1    6.82
orf00774    678113    680059    +2    10.74
orf00775    680126    680962    +2    9.01
orf00777    680988    682328    +3    11.26
orf00778    682585    682920    +1    6.17
orf00779    683351    683806    +2    6.52
orf00780    683825    685312    +2    12.98
orf00781    685337    688033    +2    10.33
orf00782    688135    688533    +1    11.38
orf00783    688533    689471    +3    11.13
orf00784    689613    689882    +3    9.83
orf00785    690245    692374    +2    13.22
orf00788    692589    693401    +3    11.64
orf00789    693500    693907    +2    9.68
orf00790    694014    695291    +3    10.51
orf00791    696222    695344    -1    9.78
orf00792    697247    696234    -3    8.10
orf00793    699409    697355    -2    8.61
orf00795    699642    700169    +3    5.00
orf00796    700153    700656    +1    11.65
orf00797    700767    701174    +3    5.41
orf00799    701171    701620    +2    11.80
orf00800    703666    701609    -2    10.65
orf00801    703876    705465    +1    11.36
orf00802    706858    705587    -2    15.06
orf00803    707668    706946    -2    7.55
orf00804    707977    709290    +1    11.37
orf00805    709659    710558    +3    10.62
orf00807    710589    712121    +3    11.97
orf00808    712395    713729    +3    9.91
orf00809    713866    713994    +1    0.89
orf00810    714077    714193    +2    2.57
orf00811    714307    714558    +1    5.32
orf00812    715630    714596    -2    9.92
orf00813    716512    715847    -2    10.96
orf00814    716677    716534    -2    0.88
orf00815    716983    717120    +1    3.11
orf00816    717143    717661    +2    6.82
orf00817    717664    719910    +1    11.65
orf00818    719920    720714    +1    7.62
orf00820    720743    721558    +2    9.67
orf00821    721568    722419    +2    7.51
orf00822    723660    722512    -1    8.28
orf00823    724055    724945    +2    7.93
orf00825    725183    725470    +2    6.38
orf00826    725799    725539    -1    2.91
orf00827    726057    727619    +3    8.30
orf00828    727688    728656    +2    7.60
orf00829    728687    731536    +2    12.40
orf00830    731552    732067    +2    10.39
orf00831    732230    732664    +2    7.55
orf00832    732711    733661    +3    13.01
orf00833    735282    733798    -1    10.40
orf00835    735553    735876    +1    10.94
orf00836    735895    737691    +1    9.12
orf00837    738638    737715    -3    13.02
orf00838    739768    738656    -2    11.70
orf00839    739874    740866    +2    14.15
orf00840    741606    740893    -1    13.14
orf00841    743292    741616    -1    11.99
orf00842    743534    744607    +2    11.26
orf00843    744620    745747    +2    12.03
orf00844    746185    745814    -2    10.18
orf00845    748023    746356    -1    13.17
orf00846    748385    750331    +2    10.65
orf00847    750386    750697    +2    13.11
orf00848    751260    750775    -1    5.76
orf00849    753622    751247    -2    7.65
orf00850    754646    753606    -3    6.69
orf00852    756003    754828    -1    9.17
orf00853    756569    756243    -3    10.05
orf00854    756848    756976    +2    4.24
orf00855    757696    756971    -2    10.98
orf00856    757851    758825    +3    9.21
orf00857    758828    759550    +2    10.76
orf00859    759675    762248    +3    11.65
orf00860    762602    762799    +2    1.22
orf00862    767477    767043    -3    10.17
orf00863    768218    768541    +2    3.78
orf00864    768551    769273    +2    10.30
orf00865    769562    769308    -3    5.19
orf00866    770965    769565    -2    11.35
orf00867    772030    771116    -2    12.88
orf00868    772267    772956    +1    10.75
orf00870    772978    774279    +1    10.48
orf00872    774285    775253    +3    12.53
orf00874    776757    775321    -1    10.12
orf00876    778909    776804    -2    9.00
orf00877    779108    781303    +2    10.59
orf00878    781313    782959    +2    10.60
orf00879    782962    783783    +1    10.90
orf00880    783817    784527    +1    12.04
orf00881    785364    784588    -1    8.13
orf00882    786331    785567    -2    10.00
orf00883    787271    786666    -3    10.96
orf00884    787493    788398    +2    9.79
orf00885    788982    790619    +3    12.86
orf00886    790749    792062    +3    14.05
orf00887    792664    792215    -2    11.26
orf00888    792954    794012    +3    13.69
orf00889    794241    795380    +3    11.28
orf00890    795485    795817    +2    9.02
orf00891    795872    797692    +2    12.73
orf00892    797707    798654    +1    13.12
orf00893    799625    798822    -3    10.94
orf00895    799804    800538    +1    10.79
orf00896    800692    801174    +1    8.34
orf00897    801201    802415    +3    12.20
orf00898    802452    802835    +3    9.58
orf00899    803007    803219    +3    9.93
orf00900    803268    803783    +3    9.73
orf00902    803807    805657    +2    14.62
orf00903    805671    806009    +3    4.82
orf00904    806058    806252    +3    11.74
orf00905    806472    807761    +3    11.09
orf00906    807964    808392    +1    12.10
orf00907    808566    809687    +3    11.73
orf00908    810001    811083    +1    10.12
orf00909    811094    812218    +2    11.41
orf00910    812244    813512    +3    11.20
orf00911    813549    814163    +3    14.30
orf00912    814176    815336    +3    10.72
orf00913    815529    817013    +3    13.02
orf00914    817067    817951    +2    6.34
orf00915    818256    818489    +3    2.96
orf00916    819810    818470    -1    10.68
orf00917    820018    821481    +1    11.54
orf00918    821588    823141    +2    12.03
orf00920    823398    825101    +3    8.39
orf00921    825292    825885    +1    9.12
orf00922    826197    827078    +3    10.28
orf00923    828810    827179    -1    9.46
orf00924    830008    828821    -2    10.91
orf00925    830245    830964    +1    10.07
orf00926    832286    830976    -3    9.52
orf00927    832488    833447    +3    10.33
orf00928    833444    834496    +2    8.35
orf00929    834475    835551    +1    7.22
orf00931    835770    836507    +3    8.04
orf00932    836510    837223    +2    4.42
orf00933    837239    838159    +2    10.03
orf00934    838377    840359    +3    11.79
orf00935    841989    840439    -1    10.00
orf00936    843629    842367    -3    11.18
orf00937    843733    844665    +1    7.18
orf00938    844790    845119    +2    11.05
orf00940    845285    845557    +2    4.49
orf00942    846274    845591    -2    9.19
orf00943    847898    846288    -3    10.53
orf00944    849357    848056    -1    10.81
orf00946    849972    849373    -1    14.09
orf00947    851171    849954    -3    14.52
orf00948    851564    851190    -3    9.16
